iter	Passed	Remaining
964	30636	51908
965	30660	51862
966	30684	51818
967	30709	51774
968	30733	51730
969	30767	51702
970	30792	51658
971	30817	51615
972	30841	51572
973	30867	51530
974	30891	51485
975	30918	51445
976	30947	51410
977	30973	51369
978	30998	51325
979	31025	51286
980	31048	51241
981	31072	51197
982	31095	51151
983	31126	51118
984	31157	51085
985	31182	51043
986	31208	51002
987	31235	50963
988	31262	50923
989	31286	50879
990	31312	50839
991	31347	50813
992	31372	50771
993	31397	50729
994	31423	50687
995	31446	50642
996	31472	50601
997	31498	50561
998	31529	50529
999	31554	50486
1000	31579	50444
1001	31604	50402
1002	31629	50360
1003	31654	50319
1004	31679	50277
1005	31710	50245
1006	31738	50208
1007	31765	50168
1008	31788	50123
1009	31814	50083
1010	31838	50041
1011	31862	49997
1012	31895	49967
1013	31919	49924
1014	31942	49880
1015	31967	49839
1016	31993	49799
1017	32018	49757
1018	32043	49716
1019	32073	49682
1020	32100	49643
1021	32125	49602
1022	32148	49558
1023	32173	49517
1024	32214	49500
1025	32239	49458
1026	32264	49417
1027	32297	49388
1028	32323	49348
1029	32346	49305
1030	32372	49265
1031	32397	49223
1032	32420	49180
1033	32445	49138
1034	32473	49102
1035	32504	49070
1036	32527	49027
1037	32550	48981
1038	32575	48941
1039	32601	48901
1040	32624	48858
1041	32649	48817
1042	32677	48780
1043	32708	48749
1044	32735	48711
1045	32760	48670
1046	32784	48629
1047	32809	48588
1048	32835	48548
1049	32858	48505
1050	32884	48465
1051	32914	48432
1052	32941	48395
1053	32965	48353
1054	32990	48313
1055	33014	48271
1056	33039	48231
1057	33064	48189
1058	33090	48152
1059	33122	48121
1060	33152	48087
1061	33177	48047
1062	33201	48005
1063	33224	47963
1064	33250	47924
1065	33275	47884
1066	33312	47861
1067	33337	47821
1068	33366	47787
1069	33395	47752
1070	33424	47717
1071	33450	47678
1072	33480	47647
1073	33509	47612
1074	33535	47573
1075	33560	47534
1076	33587	47496
1077	33614	47459
1078	33639	47418
1079	33668	47385
1080	33696	47349
1081	33724	47314
1082	33748	47272
1083	33772	47232
1084	33797	47192
1085	33822	47152
1086	33855	47123
1087	33880	47083
1088	33906	47045
1089	33935	47011
1090	33961	46973
1091	33987	46935
1092	34015	46900
1093	34046	46868
1094	34072	46830
1095	34097	46790
